T13,Intentional homicides and other crimes,,,,,
2,Africa,2015,"Intentional homicide rates per 100,000",12.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
2,Africa,2020,"Intentional homicide rates per 100,000",12.1,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
15,Northern Africa,2005,"Intentional homicide rates per 100,000",5.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
15,Northern Africa,2005,"Percentage of male and female intentional homicide victims, Male",8.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
15,Northern Africa,2005,"Percentage of male and female intentional homicide victims, Female",1.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
15,Northern Africa,2010,"Intentional homicide rates per 100,000",5.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
15,Northern Africa,2010,"Percentage of male and female intentional homicide victims, Male",9.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
15,Northern Africa,2010,"Percentage of male and female intentional homicide victims, Female",1.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
15,Northern Africa,2015,"Intentional homicide rates per 100,000",6.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
15,Northern Africa,2015,"Percentage of male and female intentional homicide victims, Male",10.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
15,Northern Africa,2015,"Percentage of male and female intentional homicide victims, Female",1.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
15,Northern Africa,2020,"Intentional homicide rates per 100,000",6.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
15,Northern Africa,2020,"Percentage of male and female intentional homicide victims, Male",11.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
15,Northern Africa,2020,"Percentage of male and female intentional homicide victims, Female",1.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
202,Sub-Saharan Africa,2005,"Intentional homicide rates per 100,000",14.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
202,Sub-Saharan Africa,2010,"Intentional homicide rates per 100,000",13.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
202,Sub-Saharan Africa,2015,"Intentional homicide rates per 100,000",13.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
202,Sub-Saharan Africa,2020,"Intentional homicide rates per 100,000",13.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
19,Americas,2005,"Intentional homicide rates per 100,000",15.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
19,Americas,2005,"Percentage of male and female intentional homicide victims, Male",27.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
19,Americas,2005,"Percentage of male and female intentional homicide victims, Female",3.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
19,Americas,2010,"Intentional homicide rates per 100,000",16.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
19,Americas,2010,"Percentage of male and female intentional homicide victims, Male",30.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
19,Americas,2010,"Percentage of male and female intentional homicide victims, Female",3.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
19,Americas,2015,"Intentional homicide rates per 100,000",16.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
19,Americas,2015,"Percentage of male and female intentional homicide victims, Male",29.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
19,Americas,2015,"Percentage of male and female intentional homicide victims, Female",3.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
19,Americas,2020,"Intentional homicide rates per 100,000",15.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
19,Americas,2020,"Percentage of male and female intentional homicide victims, Male",28.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
19,Americas,2020,"Percentage of male and female intentional homicide victims, Female",3.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
21,Northern America,2005,"Intentional homicide rates per 100,000",5.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
21,Northern America,2005,"Percentage of male and female intentional homicide victims, Male",8.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
21,Northern America,2005,"Percentage of male and female intentional homicide victims, Female",2.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
21,Northern America,2010,"Intentional homicide rates per 100,000",4.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
21,Northern America,2010,"Percentage of male and female intentional homicide victims, Male",7.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
21,Northern America,2010,"Percentage of male and female intentional homicide victims, Female",2.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
21,Northern America,2015,"Intentional homicide rates per 100,000",4.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
21,Northern America,2015,"Percentage of male and female intentional homicide victims, Male",7.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
21,Northern America,2015,"Percentage of male and female intentional homicide victims, Female",2.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
21,Northern America,2020,"Intentional homicide rates per 100,000",6.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
21,Northern America,2020,"Percentage of male and female intentional homicide victims, Male",9.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
21,Northern America,2020,"Percentage of male and female intentional homicide victims, Female",2.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
419,Latin America & the Caribbean,2005,"Intentional homicide rates per 100,000",20.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
419,Latin America & the Caribbean,2005,"Percentage of male and female intentional homicide victims, Male",37.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
419,Latin America & the Caribbean,2005,"Percentage of male and female intentional homicide victims, Female",3.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
419,Latin America & the Caribbean,2010,"Intentional homicide rates per 100,000",23.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
419,Latin America & the Caribbean,2010,"Percentage of male and female intentional homicide victims, Male",43.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
419,Latin America & the Caribbean,2010,"Percentage of male and female intentional homicide victims, Female",4.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
419,Latin America & the Caribbean,2015,"Intentional homicide rates per 100,000",22.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
419,Latin America & the Caribbean,2015,"Percentage of male and female intentional homicide victims, Male",41.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
419,Latin America & the Caribbean,2015,"Percentage of male and female intentional homicide victims, Female",4.1,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
419,Latin America & the Caribbean,2020,"Intentional homicide rates per 100,000",21.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
419,Latin America & the Caribbean,2020,"Percentage of male and female intentional homicide victims, Male",38.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
419,Latin America & the Caribbean,2020,"Percentage of male and female intentional homicide victims, Female",4.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
142,Asia,2005,"Intentional homicide rates per 100,000",2.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
142,Asia,2005,"Percentage of male and female intentional homicide victims, Male",4.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
142,Asia,2005,"Percentage of male and female intentional homicide victims, Female",1.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
142,Asia,2010,"Intentional homicide rates per 100,000",2.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
142,Asia,2010,"Percentage of male and female intentional homicide victims, Male",3.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
142,Asia,2010,"Percentage of male and female intentional homicide victims, Female",1.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
142,Asia,2015,"Intentional homicide rates per 100,000",2.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
142,Asia,2015,"Percentage of male and female intentional homicide victims, Male",3.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
142,Asia,2015,"Percentage of male and female intentional homicide victims, Female",1.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
142,Asia,2020,"Intentional homicide rates per 100,000",2.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
142,Asia,2020,"Percentage of male and female intentional homicide victims, Male",2.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
142,Asia,2020,"Percentage of male and female intentional homicide victims, Female",1.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
143,Central Asia,2005,"Intentional homicide rates per 100,000",6.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
143,Central Asia,2005,"Percentage of male and female intentional homicide victims, Male",9.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
143,Central Asia,2005,"Percentage of male and female intentional homicide victims, Female",3.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
143,Central Asia,2010,"Intentional homicide rates per 100,000",5.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
143,Central Asia,2010,"Percentage of male and female intentional homicide victims, Male",8.1,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
143,Central Asia,2010,"Percentage of male and female intentional homicide victims, Female",2.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
143,Central Asia,2015,"Intentional homicide rates per 100,000",2.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
143,Central Asia,2015,"Percentage of male and female intentional homicide victims, Male",4.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
143,Central Asia,2015,"Percentage of male and female intentional homicide victims, Female",1.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
143,Central Asia,2020,"Intentional homicide rates per 100,000",2.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
143,Central Asia,2020,"Percentage of male and female intentional homicide victims, Male",2.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
143,Central Asia,2020,"Percentage of male and female intentional homicide victims, Female",1.1,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
30,Eastern Asia,2005,"Intentional homicide rates per 100,000",1.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
30,Eastern Asia,2010,"Intentional homicide rates per 100,000",1.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
30,Eastern Asia,2015,"Intentional homicide rates per 100,000",0.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
30,Eastern Asia,2020,"Intentional homicide rates per 100,000",0.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
62,South-central Asia,2005,"Intentional homicide rates per 100,000",4.1,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
62,South-central Asia,2010,"Intentional homicide rates per 100,000",4.1,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
62,South-central Asia,2015,"Intentional homicide rates per 100,000",3.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
62,South-central Asia,2020,"Intentional homicide rates per 100,000",3.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
35,South-eastern Asia,2005,"Intentional homicide rates per 100,000",2.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
35,South-eastern Asia,2005,"Percentage of male and female intentional homicide victims, Male",4.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
35,South-eastern Asia,2005,"Percentage of male and female intentional homicide victims, Female",1.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
35,South-eastern Asia,2010,"Intentional homicide rates per 100,000",2.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
35,South-eastern Asia,2010,"Percentage of male and female intentional homicide victims, Male",4.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
35,South-eastern Asia,2010,"Percentage of male and female intentional homicide victims, Female",1.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
35,South-eastern Asia,2015,"Intentional homicide rates per 100,000",3.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
35,South-eastern Asia,2015,"Percentage of male and female intentional homicide victims, Male",5.1,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
35,South-eastern Asia,2015,"Percentage of male and female intentional homicide victims, Female",0.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
35,South-eastern Asia,2020,"Intentional homicide rates per 100,000",1.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
35,South-eastern Asia,2020,"Percentage of male and female intentional homicide victims, Male",2.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
35,South-eastern Asia,2020,"Percentage of male and female intentional homicide victims, Female",0.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
34,Southern Asia,2005,"Intentional homicide rates per 100,000",4.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
34,Southern Asia,2005,"Percentage of male and female intentional homicide victims, Male",5.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
34,Southern Asia,2005,"Percentage of male and female intentional homicide victims, Female",2.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
34,Southern Asia,2010,"Intentional homicide rates per 100,000",4.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
34,Southern Asia,2010,"Percentage of male and female intentional homicide victims, Male",5.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
34,Southern Asia,2010,"Percentage of male and female intentional homicide victims, Female",2.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
34,Southern Asia,2015,"Intentional homicide rates per 100,000",3.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
34,Southern Asia,2015,"Percentage of male and female intentional homicide victims, Male",4.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
34,Southern Asia,2015,"Percentage of male and female intentional homicide victims, Female",2.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
34,Southern Asia,2020,"Intentional homicide rates per 100,000",3.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
34,Southern Asia,2020,"Percentage of male and female intentional homicide victims, Male",3.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
34,Southern Asia,2020,"Percentage of male and female intentional homicide victims, Female",2.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
145,Western Asia,2005,"Intentional homicide rates per 100,000",5.1,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
145,Western Asia,2005,"Percentage of male and female intentional homicide victims, Male",8.1,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
145,Western Asia,2005,"Percentage of male and female intentional homicide victims, Female",1.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
145,Western Asia,2010,"Intentional homicide rates per 100,000",3.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
145,Western Asia,2010,"Percentage of male and female intentional homicide victims, Male",5.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
145,Western Asia,2010,"Percentage of male and female intentional homicide victims, Female",1.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
145,Western Asia,2015,"Intentional homicide rates per 100,000",4.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
145,Western Asia,2015,"Percentage of male and female intentional homicide victims, Male",6.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
145,Western Asia,2015,"Percentage of male and female intentional homicide victims, Female",1.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
145,Western Asia,2020,"Intentional homicide rates per 100,000",4.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
145,Western Asia,2020,"Percentage of male and female intentional homicide victims, Male",7.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
145,Western Asia,2020,"Percentage of male and female intentional homicide victims, Female",2.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
150,Europe,2005,"Intentional homicide rates per 100,000",6.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
150,Europe,2005,"Percentage of male and female intentional homicide victims, Male",9.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
150,Europe,2005,"Percentage of male and female intentional homicide victims, Female",3.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
150,Europe,2010,"Intentional homicide rates per 100,000",3.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
150,Europe,2010,"Percentage of male and female intentional homicide victims, Male",5.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
150,Europe,2010,"Percentage of male and female intentional homicide victims, Female",2.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
150,Europe,2015,"Intentional homicide rates per 100,000",3.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
150,Europe,2015,"Percentage of male and female intentional homicide victims, Male",5.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
150,Europe,2015,"Percentage of male and female intentional homicide victims, Female",1.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
150,Europe,2020,"Intentional homicide rates per 100,000",2.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
150,Europe,2020,"Percentage of male and female intentional homicide victims, Male",3.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
150,Europe,2020,"Percentage of male and female intentional homicide victims, Female",1.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
151,Eastern Europe,2005,"Intentional homicide rates per 100,000",13.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
151,Eastern Europe,2005,"Percentage of male and female intentional homicide victims, Male",21.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
151,Eastern Europe,2005,"Percentage of male and female intentional homicide victims, Female",6.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
151,Eastern Europe,2010,"Intentional homicide rates per 100,000",6.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
151,Eastern Europe,2010,"Percentage of male and female intentional homicide victims, Male",10.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
151,Eastern Europe,2010,"Percentage of male and female intentional homicide victims, Female",3.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
151,Eastern Europe,2015,"Intentional homicide rates per 100,000",7.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
151,Eastern Europe,2015,"Percentage of male and female intentional homicide victims, Male",11.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
151,Eastern Europe,2015,"Percentage of male and female intentional homicide victims, Female",3.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
151,Eastern Europe,2020,"Intentional homicide rates per 100,000",5.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
151,Eastern Europe,2020,"Percentage of male and female intentional homicide victims, Male",8.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
